Player,Pos,TRB,AST,PTS
Isaac Bonga,PG,0.8,0.5,0.7
Jawun Evans,PG,1.7,1.4,0.9
Brandon Goodwin,PG,0.2,0.9,1.4
Isaiah Canaan,PG,1,0.8,1.5
Scott Machado,PG,0,0,1.5
Matthew Dellavedova,PG,0.8,2.4,1.7
Trevon Duval,PG,0.3,0.7,1.7
Jordan Loyd,PG,0.8,0.2,1.8
Wade Baldwin,PG,0.9,0.8,1.9
Joe Chealey,PG,0,1,2
Andrew Harrison,PG,0,0,2
Kalin Lucas,PG,3,1,2
Shelvin Mack,PG,0.7,0.3,2
Lorenzo Brown,PG,1.2,1.1,2.1
Edmond Sumner,PG,1,0.5,2.1
Jose Calderon,PG,1.3,2.4,2.4
Troy Caupain,PG,0.8,1,2.5
Jaylen Adams,PG,1.6,1.7,2.9
Brandon Knight,PG,0.8,0.8,3
Jevon Carter,PG,1.5,1.8,3.2
Milos Teodosic,PG,1.1,2.1,3.2
Brad Wanamaker,PG,1,1.3,3.3
Isaiah Briscoe,PG,1.9,2.2,3.5
Tyrone Wallace,PG,1.7,0.7,3.5
Demetrius Jackson,PG,0.5,0.8,3.7
Gary Payton,PG,0.7,1.3,3.7
Jerian Grant,PG,1.7,2.7,4.2
Shaun Livingston,PG,1.9,1.9,4.2
Michael Carter-Williams,PG,0.8,1.3,4.3
Raymond Felton,PG,1,1.6,4.4
Tim Frazier,PG,2.7,4,4.5
Michael Carter-Williams,PG,1.9,1.8,4.6
Devonte' Graham,PG,1.3,2.5,4.6
Isaiah Canaan,PG,0.7,2.7,4.7
Frank Mason,PG,1.1,2.3,4.8
De'Anthony Melton,PG,2.7,3.2,4.8
Tim Frazier,PG,2.9,4.4,5
Michael Carter-Williams,PG,5.2,3.2,5.4
Raul Neto,PG,1.7,2.5,5.4
Elie Okobo,PG,1.9,2.5,5.4
Aaron Holiday,PG,1.3,1.5,5.5
Yogi Ferrell,PG,1.6,1.9,5.6
Chasson Randle,PG,1.1,1.9,5.6
